seed,model,split,horizon,target_step,regime,nominal_coverage,n,crps,picp,interval_width,median_mae,median_rmse,predictive_std,predictive_iqr
42,standard_diffusion,test,1,1,Low,0.9,6327,0.0027166648180116182,0.8477951635846372,0.01229645301904282,0.0036187640973615984,0.0055613830552464815,0.0038795683291581776,0.004990079597718449
42,standard_diffusion,test,1,1,Medium,0.9,5299,0.00383525160203025,0.8195886016229478,0.01637656682116092,0.0051361704810658285,0.0075514095704796655,0.0052290716897740236,0.006536113677080655
42,standard_diffusion,test,1,1,High,0.9,2069,0.005330720236678943,0.8235862735621073,0.024455962572954622,0.007138936422225846,0.010701827268631139,0.007877716706772044,0.009495107230906807
42,standard_diffusion,test,6,6,Low,0.9,6312,0.0028435024825566465,0.8745247148288974,0.014456411817898095,0.0037347558244943124,0.005775923859996889,0.004529731265905047,0.00594297683289723
42,standard_diffusion,test,6,6,Medium,0.9,5299,0.003883351332835122,0.845442536327609,0.01828915951381592,0.005144545207659943,0.00781759349498821,0.005753245578258558,0.007448103621209226
42,standard_diffusion,test,6,6,High,0.9,2069,0.005037484350895563,0.8690188496858385,0.026850804136485332,0.006741081758218328,0.009853635158802075,0.008490947242598643,0.010743541484830317
42,standard_diffusion,test,24,24,Low,0.9,6270,0.0030384593143714562,0.8933014354066986,0.017040794955475915,0.00397305637053262,0.0060789880389694045,0.005324200910979253,0.007067231973958093
42,standard_diffusion,test,24,24,Medium,0.9,5287,0.0038962814011945608,0.8763003593720446,0.019959979778265254,0.0051145156505600165,0.007975452306932763,0.006235681096603374,0.008266461193690476
42,standard_diffusion,test,24,24,High,0.9,2069,0.004647053713767052,0.9047849202513292,0.028159440977896355,0.006171443337146072,0.008998293872742239,0.008826956391893754,0.011715005179891906
42,va_diff,test,1,1,Low,0.9,6327,0.002693124557450157,0.8640746009167062,0.012977927879164514,0.0035772606214279465,0.005528898370542322,0.004064573911590237,0.005339002235449141
42,va_diff,test,1,1,Medium,0.9,5299,0.003828868411256526,0.829967918475184,0.016803952657648735,0.005132041856306154,0.0075411222316080885,0.0052792362685025315,0.006869346942887777
42,va_diff,test,1,1,High,0.9,2069,0.005341271591511309,0.8177863702271628,0.023763013467910158,0.007161314584872871,0.010703682703634183,0.007488426676921739,0.009597681659338678
42,va_diff,test,6,6,Low,0.9,6312,0.0028374562046561687,0.861850443599493,0.013700103626055839,0.003729634399936991,0.0057690636343298825,0.004312142108469433,0.005596447156431202
42,va_diff,test,6,6,Medium,0.9,5299,0.0038838429877696887,0.8377052274013965,0.017833228259116964,0.005142079864530439,0.007808004473848507,0.0056592555224913264,0.007173295213176792
42,va_diff,test,6,6,High,0.9,2069,0.0050502105114065,0.8598356694055099,0.026119562318184398,0.006771611800202904,0.009872781085675016,0.00834949377647756,0.010266053042122027
42,va_diff,test,24,24,Low,0.9,6270,0.0030319229335098795,0.8864433811802233,0.016575613055442067,0.003974032797784451,0.006075193752775897,0.005179987467365425,0.006868460880416264
42,va_diff,test,24,24,Medium,0.9,5287,0.003896591717729314,0.8757329298278798,0.020021825816730857,0.005119948350515893,0.007978357019839566,0.00625408670731149,0.008284961521300383
42,va_diff,test,24,24,High,0.9,2069,0.004655718253894667,0.9047849202513292,0.028495716510051134,0.006161966507053186,0.008982051768703024,0.0089312849294651,0.01184291761119984
123,standard_diffusion,test,1,1,Low,0.9,6327,0.002705215817207758,0.8470048996364786,0.012354999625565116,0.0035956857845524846,0.0055622763738019726,0.003919809448515559,0.004985364104991543
123,standard_diffusion,test,1,1,Medium,0.9,5299,0.0038404651266490124,0.8237403283638423,0.016424877027667966,0.005130941384557678,0.007567707702326659,0.005319297905583466,0.0064959225125859445
123,standard_diffusion,test,1,1,High,0.9,2069,0.005380201348750239,0.8318028032866119,0.024482790542718735,0.007236230662276505,0.010815016438913574,0.0080282994086094,0.009444572493701493
123,standard_diffusion,test,6,6,Low,0.9,6312,0.0029062149736619886,0.8770595690747782,0.014949610368898643,0.003834331665165965,0.0058344083044341655,0.0046720863028373045,0.006219864901967469
123,standard_diffusion,test,6,6,Medium,0.9,5299,0.003896514537996659,0.8420456689941498,0.018065392648619564,0.005167682877075885,0.007806665975313221,0.005658196384648429,0.007504723710736797
123,standard_diffusion,test,6,6,High,0.9,2069,0.005039645832302029,0.8617689705171581,0.026247096523597975,0.006747993431522034,0.009851713329853821,0.008218152726591094,0.010951805049510752
123,standard_diffusion,test,24,24,Low,0.9,6270,0.0030567465526632393,0.8976076555023923,0.01736236189835537,0.003998297555639194,0.006096859635537881,0.0054266988313581175,0.007206438192893009
123,standard_diffusion,test,24,24,Medium,0.9,5287,0.0038917281483014446,0.8713826366559485,0.019630115051548245,0.005096039491602901,0.007938842197400502,0.006142176420385382,0.008173584228960662
123,standard_diffusion,test,24,24,High,0.9,2069,0.004626947857211087,0.8980183663605606,0.027545634617645486,0.006125781753266227,0.008926781109340554,0.00862463643397266,0.011458278581199704
123,va_diff,test,1,1,Low,0.9,6327,0.0027035403226727396,0.8691322901849218,0.013475054649637474,0.0035957145480648876,0.005559457722779459,0.004255818560894692,0.0054423121233701174
123,va_diff,test,1,1,Medium,0.9,5299,0.003829112776834329,0.8412908095867144,0.017485741762706515,0.005129587285905652,0.007557199293047395,0.005592399818495691,0.006935928605554685
123,va_diff,test,1,1,High,0.9,2069,0.005352940511999753,0.8347027549540841,0.024871313258897063,0.0071960324726854106,0.010767817646853254,0.008024957711382967,0.009696460054989033
123,va_diff,test,6,6,Low,0.9,6312,0.002856797757754356,0.8783269961977186,0.014720325584008289,0.0037508332195034474,0.005781172721764562,0.0046011153225079884,0.006124248721834583
123,va_diff,test,6,6,Medium,0.9,5299,0.0038755819258600474,0.8507265521796565,0.01834346829233123,0.005136923857379339,0.007792196295265247,0.005745308182643616,0.007612705726639635
123,va_diff,test,6,6,High,0.9,2069,0.005035859954317665,0.8675688738521025,0.02649765104357443,0.006735337325176821,0.009848979938138974,0.008300501027663203,0.011038567654116897
123,va_diff,test,24,24,Low,0.9,6270,0.0031384205448036387,0.8821371610845296,0.016984470998283485,0.00416578426929512,0.006206698995316098,0.005307616337429103,0.007051124172771221
123,va_diff,test,24,24,Medium,0.9,5287,0.003933488729572493,0.8708152071117836,0.019970660745251674,0.005167019143817743,0.00798197148741389,0.006245378027429442,0.00830607130947973
123,va_diff,test,24,24,High,0.9,2069,0.004656649848692196,0.902851619139681,0.02814212683177521,0.006150748070872086,0.008938890464782807,0.008819538040223635,0.01173553492724182
2024,standard_diffusion,test,1,1,Low,0.9,6327,0.00269812561896125,0.8890469416785206,0.01445494543897394,0.003571564175535149,0.005535491344383577,0.004517970228938142,0.006009960386006522
2024,standard_diffusion,test,1,1,Medium,0.9,5299,0.003824820812576334,0.8494055482166446,0.017964104518918615,0.005125759119225251,0.007541185734711531,0.005611597052972615,0.007479954810882295
2024,standard_diffusion,test,1,1,High,0.9,2069,0.0053461021558328615,0.8564523924601256,0.02625227338449202,0.007225202233553351,0.010741342842214662,0.008196851230749506,0.010917965843996033
2024,standard_diffusion,test,6,6,Low,0.9,6312,0.002841950742391572,0.8694550063371356,0.014023211747478736,0.0037354644351690947,0.005786618034170396,0.004416413652941791,0.005710278377212504
2024,standard_diffusion,test,6,6,Medium,0.9,5299,0.0038747230719729524,0.8327986412530666,0.017549977463483423,0.005108279627493323,0.007782987452136691,0.005562654625723346,0.007038298292641747
2024,standard_diffusion,test,6,6,High,0.9,2069,0.00501849417463181,0.8530691155147414,0.02490772978328852,0.006716944786440478,0.009828788090048377,0.00794247883309037,0.00980001324764104
2024,standard_diffusion,test,24,24,Low,0.9,6270,0.003045398607857298,0.8950558213716109,0.01720204172732436,0.003980551799870526,0.006071056407646612,0.005380189219021986,0.007149436136876066
2024,standard_diffusion,test,24,24,Medium,0.9,5287,0.0039029759665534405,0.8744089275581616,0.020022377241945416,0.005120802707440948,0.007962258428360802,0.00626489914863903,0.008309574257820343
2024,standard_diffusion,test,24,24,High,0.9,2069,0.004612422670125528,0.9004349927501208,0.02777872868276117,0.0061069498156928964,0.008906981248224984,0.008702674285906924,0.011558011629320323
2024,va_diff,test,1,1,Low,0.9,6327,0.0027007991550866365,0.8944207365259997,0.014790914454851775,0.003577903369238833,0.005539833602157819,0.004623515210049952,0.006150396671516634
2024,va_diff,test,1,1,Medium,0.9,5299,0.003829716890101905,0.8658237403283638,0.019098155658949952,0.005137402665899061,0.007547314300561324,0.00596510422088417,0.007953529635417239
2024,va_diff,test,1,1,High,0.9,2069,0.005355846045112001,0.8690188496858385,0.02769724504741736,0.007214085920759822,0.010725991784040474,0.008645100624337666,0.011530033687014133
2024,va_diff,test,6,6,Low,0.9,6312,0.0028405504334759707,0.8743662864385298,0.014308005094010895,0.0037292660112372526,0.0057799350364631736,0.004483611428826385,0.0058889062485108345
2024,va_diff,test,6,6,Medium,0.9,5299,0.0038707330085555537,0.8477071145499151,0.018372647988247563,0.005109524636874574,0.007781580861156678,0.0057805685719469965,0.00749540742823988
2024,va_diff,test,6,6,High,0.9,2069,0.005027676173510386,0.8646689221846302,0.026625732585824683,0.006732896637405059,0.009832224341515455,0.00839869910520347,0.010791298077261023
2024,va_diff,test,24,24,Low,0.9,6270,0.0030326516034800367,0.8896331738437001,0.016687157386587114,0.00396451823391154,0.006063268032073449,0.005221161801040147,0.006936200271806928
2024,va_diff,test,24,24,Medium,0.9,5287,0.0039055720963838757,0.8770569320975978,0.02028870549813848,0.005117150148366976,0.00797410495458465,0.006344725216799017,0.008409107651180612
2024,va_diff,test,24,24,High,0.9,2069,0.004639399487898885,0.9096181730304495,0.028552872250545293,0.006137839369991893,0.008912452993521463,0.008938067865037841,0.011882078722793966
3407,standard_diffusion,test,1,1,Low,0.9,6327,0.0027043818849877116,0.8868342026236763,0.014266769419409443,0.0035872570728074774,0.005543787637956781,0.004467712221596863,0.005956056727235375
3407,standard_diffusion,test,1,1,Medium,0.9,5299,0.0038320368019144685,0.8492168333647858,0.017944004492990457,0.0051349945717527705,0.007551969527936111,0.0056082376627088,0.007455892309168906
3407,standard_diffusion,test,1,1,High,0.9,2069,0.0053362828972567545,0.8511358144030933,0.02603008165611643,0.007205974477087238,0.010717678634698552,0.008111492654707113,0.010771377632809003
3407,standard_diffusion,test,6,6,Low,0.9,6312,0.0028503768901097007,0.8753168567807351,0.014596111357315866,0.0037325268581068403,0.0057795105949122495,0.004571331412179416,0.006055173075065497
3407,standard_diffusion,test,6,6,Medium,0.9,5299,0.003887332126386977,0.8456312511794678,0.01823856742654254,0.005129046271517568,0.007797802225917176,0.005716491986558619,0.007501548498602433
3407,standard_diffusion,test,6,6,High,0.9,2069,0.005035150160019199,0.8690188496858385,0.0267296700931702,0.006738731086451647,0.00979625029974463,0.008395137104953425,0.010938446154477414
3407,standard_diffusion,test,24,24,Low,0.9,6270,0.003054312653682765,0.8913875598086124,0.016915688640153945,0.004012195792526772,0.006105545707824296,0.005291437122844244,0.007030542742051006
3407,standard_diffusion,test,24,24,Medium,0.9,5287,0.003905804514588799,0.8711934934745602,0.01995447562220597,0.005127759836861185,0.007980042651306214,0.006238794600729741,0.008282852552499389
3407,standard_diffusion,test,24,24,High,0.9,2069,0.004614997223612692,0.9018849685838569,0.027771357584638008,0.006122317290977611,0.008907544062659442,0.00867902579214732,0.011513999590484552
3407,va_diff,test,1,1,Low,0.9,6327,0.0026914116994897356,0.8613877034929667,0.012652443322026728,0.003582133156273021,0.00555300266376155,0.003982736202110985,0.005192254875608152
