regime,horizon,metric,metric_column,mean_standard,mean_va_diff,mean_delta_va_minus_standard,std_delta,median_delta,mean_percentage_improvement,va_wins,n_seeds,comparison_direction
Overall,1,CRPS,crps,0.0035401595425277,0.0035370320805183804,-3.1274620093200284e-06,7.2446900256019355e-06,-2.1556699327999855e-06,0.0880772447131353,3,5,lower_is_better
Overall,1,MAE,median_mae,0.0047336719743590605,0.00472936066077506,-4.311313583999985e-06,1.0054452740152702e-05,-6.583675522299666e-06,0.09093872438392371,3,5,lower_is_better
Overall,1,RMSE,median_rmse,0.007331044049117159,0.00732788958940298,-3.154459714179922e-06,1.1810073216345098e-05,5.607903890000529e-07,0.04287410889807788,2,5,lower_is_better
Overall,1,PICP90,picp,0.8560642570281125,0.8588097845929171,0.0027455275648046395,0.016437756968270132,0.010660825118656403,0.11939898835870304,3,5,closer_to_0.90_is_better
Overall,1,interval_width,interval_width,0.01695032077085058,0.01706666995801298,0.00011634918716240048,0.0009889081889401141,0.00037551641396149985,-0.8348117209536714,2,5,lower_is_better
Overall,6,CRPS,crps,0.00358603396465912,0.0035837681784831404,-2.265786175979865e-06,1.734894425357383e-05,-6.745906807000858e-07,0.06187044241266809,3,5,lower_is_better
Overall,6,MAE,median_mae,0.0047425995172706795,0.004740507535127459,-2.091982143219949e-06,3.0015281353520654e-05,1.299442384299944e-06,0.041591675446990314,1,5,lower_is_better
Overall,6,RMSE,median_rmse,0.007328832198965701,0.007328098597580801,-7.33601384900022e-07,1.6437446004347693e-05,-2.319134034500271e-06,0.009820080476924014,3,5,lower_is_better
Overall,6,PICP90,picp,0.8606578947368421,0.8621637426900584,0.0015058479532163993,0.007474321372321694,0.003289473684210509,2.877364430538596,3,5,closer_to_0.90_is_better
Overall,6,interval_width,interval_width,0.017696386271128416,0.01776399601687764,6.760974574921974e-05,0.0004785512945230425,7.073509706179842e-05,-0.41513197330043994,1,5,lower_is_better
Overall,24,CRPS,crps,0.00361843429432996,0.00363161507959702,1.3180785267059934e-05,2.5515255009957414e-05,1.6606564586002688e-06,-0.364150166095211,2,5,lower_is_better
Overall,24,MAE,median_mae,0.0047518085831646005,0.00477494990266904,2.3141319504440226e-05,4.789525136146792e-05,1.1669764342003494e-06,-0.4874114471829062,1,5,lower_is_better
Overall,24,RMSE,median_rmse,0.00733356735169904,0.00734715086855534,1.3583516856299945e-05,2.88934854236115e-05,3.0431333585996534e-06,-0.18549052591851808,2,5,lower_is_better
Overall,24,PICP90,picp,0.8869660942316161,0.8842360193747248,-0.0027300748568912293,0.005440553985638596,-0.0033758990165859704,-21.97721065418064,1,5,closer_to_0.90_is_better
Overall,24,interval_width,interval_width,0.0198251046026522,0.019767779818425237,-5.7324784226960025e-05,0.00041683454989366336,-1.6038770305600025e-05,0.286526596701446,3,5,lower_is_better
